ID	Name	TYPE1	TYPE2	STAND	WALK
--------------------------------------------
0	Hans	0	117	9870	9869
1	Man	2	4	808	819
2	Man	2	4	808	819
3	Man	2	4	808	819
4	Woman	2	4	808	819
5	Woman	2	4	808	819
6	Woman	2	4	808	819
7	Farmer	7	4	808	819
8	Thief	16	4	808	819
9	Guard	21	4	808	819
10	Schoolgirl	0	509	7167	7165
11	Tramp	0	4	808	819
12	Barbarian	7	4	808	819
13	Wizard	9	4	808	819
14	Druid	33	4	808	819
15	Warrior woman	24	4	808	819
16	Man	2	4	808	819
17	Schoolgirl	0	509	7167	7165
18	Al-Kharid warrior	9	4	808	819
19	White Knight	36	78	7047	7046
20	Paladin	62	4	808	819
21	Hero	69	4	808	819
22	Forester	15	4	808	819
23	Knight of Ardougne	46	4	808	819
24	Man	2	4	808	819
25	Woman	2	4	808	819
26	Knight of Ardougne	46	118	-1	819
27	Archer	37	4	808	819
28	Zoo keeper	0	4	808	819
29	Musician	0	1541	11796	11796
30	Musician	0	1541	11796	11796
31	Priest	0	4	808	819
32	Guard	20	4	808	819
33	Door man	0	4	808	819
34	Watchman	33	4	808	819
35	Soldier	28	4	808	819
36	Wyson the gardener	0	4	808	819
37	Sigbert the Adventurer	0	119	813	819
38	Shipyard worker	11	4	808	819
39	Shipyard worker	11	4	808	819
40	Shark	0	1415	-1	10
41	Chicken	1	62	5386	5385
42	Sheep	0	63	5339	5340
43	Sheep	0	64	5335	5334
44	Banker	0	92	808	808
45	Banker	0	92	808	808
46	Duck	1	742	6818	6817
47	Rat	1	101	2704	2703
48	Oomlie bird	46	62	5386	5385
49	Hellhound	122	96	6561	6583
50	King Black Dragon	276	1403	90	4635
51	Baby dragon	48	1398	27	21
52	Baby blue dragon	48	1398	27	21
53	Red dragon	152	77	90	79
54	Black dragon	227	77	90	79
55	Blue dragon	111	77	90	79
56	Dryad	1	44	96	93
57	Fairy	0	32	112	106
58	Shadow spider	52	17	5326	5325
59	Giant spider	2	17	5326	5325
60	Giant spider	27	17	5326	5325
61	Spider	1	99	6247	6248
62	Jungle spider	44	17	5326	5325
63	Deadly red spider	34	17	5326	5325
64	Ice spider	61	17	5326	5325
65	Leprechaun	12	108	195	189
66	Gnome	1	108	195	189
67	Gnome	1	108	195	189
68	Gnome	1	108	195	189
69	Lizard man	22	1411	179	176
71	Orc	20	1413	232	229
72	Troll	69	42	286	283
73	Zombie	13	67	5565	5566
74	Zombie	18	68	5576	5577
75	Zombie	24	38	5572	5570
76	Zombie	25	38	5572	5570
77	Summoned Zombie	13	67	5565	5566
78	Giant bat	27	76	4914	4913
79	Death wing	83	76	4914	4913
80	Camel	0	109	9669	9670
81	Cow	2	66	5852	5848
82	Lesser demon	82	75	66	63
83	Greater demon	92	75	66	63
84	Black demon	172	75	66	63
85	Golem	55	46	155	152
86	Giant rat	3	9	4932	4931
87	Giant rat	6	9	4932	4931
88	Dungeon rat	12	9	4932	4931
89	Unicorn	15	110	6374	6373
90	Skeleton	22	70	5483	5481
91	Skeleton	21	70	5483	5481
92	Skeleton	25	70	5483	5481
93	Skeleton	45	72	5493	5497
94	Skeleton Mage	16	71	5483	5479
95	Wolf	64	97	6580	6556
96	White wolf	25	97	6580	6556
97	White wolf	38	97	6580	6556
98	Dog	0	98	6561	6560
99	Guard dog	44	98	6561	6560
100	Goblin	2	86	6181	6180
101	Goblin	5	87	6186	6187
102	Goblin	13	86	6181	6180
103	Ghost	19	73	5538	5539
104	Ghost	19	74	5530	5531
105	Grizzly bear	21	13	4919	4923
106	Black bear	19	13	4919	4923
107	Scorpion	14	100	6252	6253
108	Poison Scorpion	20	100	6252	6253
109	Pit Scorpion	28	1418	6258	6257
110	Fire giant	86	55	4662	4660
111	Ice giant	53	1409	4670	4669
112	Moss giant	42	57	4656	4654
113	Jogre	53	321	10626	10625
114	Mogre	60	321	10626	10625
115	Ogre	53	321	10626	10625
116	Cyclops	56	61	4650	4649
117	Hill Giant	28	61	4650	4649
118	Dwarf	10	2	101	98
119	Chaos dwarf	48	2	101	98
120	Dwarf	20	2	101	98
121	Dwarf	9	2	101	98
122	Hobgoblin	28	88	166	162
123	Hobgoblin	42	88	166	162
124	Earth warrior	51	4	808	819
125	Ice warrior	57	111	842	841
126	Otherworldly being	64	4	808	819
127	Magic axe	42	112	187	181
128	Snake	5	113	277	274
